Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P41932	14331_CAEEL	reviewed	14-3-3-like protein 1 (Partitioning defective protein 5)	par-5 ftt-1 M117.2	Caenorhabditis elegans	248
Q20655	14332_CAEEL	reviewed	14-3-3-like protein 2	ftt-2 F52D10.3	Caenorhabditis elegans	248
Q09543	2AAA_CAEEL	reviewed	Probable serine/threonine-protein phosphatase PP2A regulatory subunit (Protein phosphatase PP2A regulatory subunit A)	paa-1 F48E8.5	Caenorhabditis elegans	590
Q19341	3HAO_CAEEL	reviewed	3-hydroxyanthranilate 3,4-dioxygenase (EC 1.13.11.6) (3-hydroxyanthranilate oxygenase) (3-HAO) (3-hydroxyanthranilic acid dioxygenase) (HAD)	haao-1 K06A4.5	Caenorhabditis elegans	281
Q9XTI0	3HIDH_CAEEL	reviewed	Probable 3-hydroxyisobutyrate dehydrogenase, mitochondrial (HIBADH) (EC 1.1.1.31)	B0250.5	Caenorhabditis elegans	299
Q09315	5NT3_CAEEL	reviewed	Putative cytosolic 5'-nucleotidase 3 (EC 3.1.3.5) (Putative pyrimidine 5'-nucleotidase)	F25B5.3	Caenorhabditis elegans	376
Q17761	6PGD_CAEEL	reviewed	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	T25B9.9	Caenorhabditis elegans	484
O18229	6PGL_CAEEL	reviewed	Putative 6-phosphogluconolactonase (6PGL) (EC 3.1.1.31)	Y57G11C.3	Caenorhabditis elegans	269
Q09406	A16L2_CAEEL	reviewed	Autophagic-related protein 16.2	atg-16.2 K06A1.5	Caenorhabditis elegans	534
Q19124	A16L1_CAEEL	reviewed	Autophagic-related protein 16.1	atg-16.1 F02E8.5	Caenorhabditis elegans	578
Q10651	A4_CAEEL	reviewed	Beta-amyloid-like protein	apl-1 C42D8.8	Caenorhabditis elegans	686
P45894	AAPK1_CAEEL	reviewed	5'-AMP-activated protein kinase catalytic subunit alpha-1 (AMPK subunit alpha-1) (EC 2.7.11.1)	aak-1 PAR2.3	Caenorhabditis elegans	589
Q95ZQ4	AAPK2_CAEEL	reviewed	5'-AMP-activated protein kinase catalytic subunit alpha-2 (AMPK subunit alpha-2) (EC 2.7.11.1)	aak-2 T01C8.1	Caenorhabditis elegans	626
Q09305	AAR2_CAEEL	reviewed	Protein AAR2 homolog (AAR2 splicing factor homolog)	F10B5.2	Caenorhabditis elegans	357
Q22067	AATC_CAEEL	reviewed	Probable aspartate aminotransferase, cytoplasmic (EC 2.6.1.1) (Glutamate oxaloacetate transaminase 1.2) (Transaminase A)	got-1.2 T01C8.5	Caenorhabditis elegans	408
G5EGC4	ABF1_CAEEL	reviewed	Antibacterial factor-related peptide 1	abf-1 C50F2.9	Caenorhabditis elegans	85
G5EC68	ABF2_CAEEL	reviewed	Antibacterial factor-related peptide 2	abf-2 C50F2.10	Caenorhabditis elegans	85
P03949	ABL1_CAEEL	reviewed	Tyrosine-protein kinase abl-1 (EC 2.7.10.2)	abl-1 M79.1	Caenorhabditis elegans	1224
Q22347	ACADM_CAEEL	reviewed	Probable medium-chain specific acyl-CoA dehydrogenase 10, mitochondrial (MCAD) (EC 1.3.8.7)	acdh-10 T08G2.3	Caenorhabditis elegans	417
O45145	ACASE_CAEEL	reviewed	Alkaline ceramidase (AlkCDase) (EC 3.5.1.23) (Alkaline N-acylsphingosine amidohydrolase) (Alkaline acylsphingosine deacylase)	W02F12.2	Caenorhabditis elegans	272
O01805	ACBP1_CAEEL	reviewed	Acyl-CoA-binding protein homolog 1 (ACBP-1) (Diazepam-binding inhibitor homolog) (DBI)	acbp-1 C44E4.6	Caenorhabditis elegans	86
Q20507	ACBP3_CAEEL	reviewed	Acyl-CoA-binding protein homolog 3 (ACBP-3)	acbp-3 F47B10.7	Caenorhabditis elegans	116
P38433	ACE1_CAEEL	reviewed	Acetylcholinesterase 1 (AChE 1) (EC 3.1.1.7)	ace-1 W09B12.1	Caenorhabditis elegans	620
P48180	ACH1_CAEEL	reviewed	Acetylcholine receptor subunit alpha-type acr-16	acr-16 Ce21 F25G6.3	Caenorhabditis elegans	498
G5EG88	ACH23_CAEEL	reviewed	Betaine receptor acr-23 (Acetylcholine receptor subunit alpha-type acr-23)	acr-23 5E130 F59B1.9	Caenorhabditis elegans	545
P48181	ACH2_CAEEL	reviewed	Acetylcholine receptor subunit beta-type unc-29 (Uncoordinated protein 29)	unc-29 T08G11.5	Caenorhabditis elegans	493
P54244	ACH3_CAEEL	reviewed	Acetylcholine receptor subunit alpha-type deg-3	deg-3 K03B8.9	Caenorhabditis elegans	564
Q9N587	ACH6_CAEEL	reviewed	Acetylcholine receptor subunit alpha-type unc-63 (Levamisole-resistant protein 7) (Uncoordinated protein 63)	unc-63 lev-7 Y110A7A.3	Caenorhabditis elegans	502
Q9U298	ACH8_CAEEL	reviewed	Neuronal acetylcholine receptor subunit eat-2 (Abnormal pharyngeal pumping eat-2)	eat-2 Y48B6A.4	Caenorhabditis elegans	474
O76554	ACH4_CAEEL	reviewed	Acetylcholine receptor subunit alpha-type des-2	des-2 acr-4 T26H10.1	Caenorhabditis elegans	548
Q27218	ACH7_CAEEL	reviewed	Acetylcholine receptor subunit beta-type lev-1 (Levamisole-resistant protein 1)	lev-1 F09E8.7	Caenorhabditis elegans	507
Q23022	ACH5_CAEEL	reviewed	Acetylcholine receptor subunit alpha-type unc-38 (Uncoordinated protein 38)	unc-38 F21F3.5	Caenorhabditis elegans	511
P53585	ACLY_CAEEL	reviewed	Probable ATP-citrate synthase (EC 2.3.3.8) (ATP-citrate (pro-S-)-lyase) (Citrate cleavage enzyme)	D1005.1	Caenorhabditis elegans	1106
