Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P32234	128UP_DROME	reviewed	GTP-binding protein 128up	128up GTP-bp CG8340	Drosophila melanogaster (Fruit fly)	368
P81928	140U_DROME	reviewed	RPII140-upstream gene protein	140up CG9852	Drosophila melanogaster (Fruit fly)	261
P92177	1433E_DROME	reviewed	14-3-3 protein epsilon (Suppressor of Ras1 3-9)	14-3-3epsilon 14-3-3e SR3-9 CG31196	Drosophila melanogaster (Fruit fly)	262
P29310	1433Z_DROME	reviewed	14-3-3 protein zeta (14-3-3-like protein) (Protein Leonardo)	14-3-3zeta 14-3-3 14-3-3EZ leo THAP CG17870	Drosophila melanogaster (Fruit fly)	248
P16909	18C_DROME	reviewed	Histone-like protein 18C	Mst77F 18c anon-77F CG3354	Drosophila melanogaster (Fruit fly)	215
P36179	2AAA_DROME	reviewed	Serine/threonine-protein phosphatase PP2A 65 kDa regulatory subunit (PR65) (Protein phosphatase PP2A regulatory subunit A)	Pp2A-29B CG17291	Drosophila melanogaster (Fruit fly)	591
P36872	2ABA_DROME	reviewed	Protein phosphatase PP2A 55 kDa regulatory subunit (PR55) (Protein phosphatase PP2A regulatory subunit B) (Protein twins)	tws aar Pp2A-85F CG6235	Drosophila melanogaster (Fruit fly)	499
Q9V785	3BP5H_DROME	reviewed	SH3 domain-binding protein 5 homolog (Protein parcase)	pcs CG7761	Drosophila melanogaster (Fruit fly)	477
Q9V8M5	3HIDH_DROME	reviewed	Probable 3-hydroxyisobutyrate dehydrogenase, mitochondrial (HIBADH) (EC 1.1.1.31)	CG15093	Drosophila melanogaster (Fruit fly)	324
Q9V8R9	41_DROME	reviewed	Protein 4.1 homolog (Protein coracle)	cora CG11949	Drosophila melanogaster (Fruit fly)	1698
P20905	5HT1R_DROME	reviewed	5-hydroxytryptamine receptor 1 (5-HT receptor) (5HT-dro) (Serotonin receptor 1)	5-HT7 5HT-R1 CG12073	Drosophila melanogaster (Fruit fly)	564
P28285	5HT2A_DROME	reviewed	5-hydroxytryptamine receptor 2A (5-HT receptor 2A) (Serotonin receptor 2A)	5-HT1A 5HT-R2A CG16720	Drosophila melanogaster (Fruit fly)	834
P28286	5HT2B_DROME	reviewed	5-hydroxytryptamine receptor 2B (5-HT receptor 2B) (5-hydroxytryptamine receptor 1B) (5-HT receptor 1B) (Serotonin receptor 1B) (Serotonin receptor 2B)	5-HT1B 5HT-R2B CG15113	Drosophila melanogaster (Fruit fly)	617
Q9W197	5NT3B_DROME	reviewed	7-methylguanosine phosphate-specific 5'-nucleotidase (7-methylguanosine nucleotidase) (EC 3.1.3.91) (5'-nucleotidase CG3362) (EC 3.1.3.5) (N(7)-methylguanylate 5'-phosphatase)	CG3362	Drosophila melanogaster (Fruit fly)	319
P27091	60A_DROME	reviewed	Protein 60A (Protein glass bottom boat)	gbb 60A gbb-60A TGFb-60A CG5562	Drosophila melanogaster (Fruit fly)	455
P41572	6PGD_DROME	reviewed	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	Pgd CG3724	Drosophila melanogaster (Fruit fly)	481
Q9VZ64	6PGL_DROME	reviewed	Probable 6-phosphogluconolactonase (6PGL) (EC 3.1.1.31)	CG17333	Drosophila melanogaster (Fruit fly)	243
P13368	7LESS_DROME	reviewed	Protein sevenless (EC 2.7.10.1)	sev HD-265 CG18085	Drosophila melanogaster (Fruit fly)	2554
P16375	7UP1_DROME	reviewed	Steroid receptor seven-up, isoforms B/C (Nuclear receptor subfamily 2 group F member 3, isoforms B/C)	svp NR2F3 CG11502	Drosophila melanogaster (Fruit fly)	543
P16376	7UP2_DROME	reviewed	Steroid receptor seven-up, isoform A (Nuclear receptor subfamily 2 group F member 3, isoform A)	svp NR2F3 CG11502	Drosophila melanogaster (Fruit fly)	746
O46197	A29AB_DROME	reviewed	Accessory gland protein Acp29AB	Acp29AB CG17797	Drosophila melanogaster (Fruit fly)	234
O46203	A32CD_DROME	reviewed	Accessory gland protein Acp32CD	Acp32CD CG4605	Drosophila melanogaster (Fruit fly)	329
O46227	A33A_DROME	reviewed	Accessory gland peptide Acp33A	Acp33A CG6555	Drosophila melanogaster (Fruit fly)	47
Q9V3R1	A36DE_DROME	reviewed	Accessory gland protein Acp36DE	Acp36DE CG7157	Drosophila melanogaster (Fruit fly)	912
P18487	A37C_DROME	reviewed	Protein anon-37Cs	anon-37Cs cs l(2)37Cs CG10561	Drosophila melanogaster (Fruit fly)	504
P14599	A4_DROME	reviewed	Beta-amyloid-like protein	Appl CG7727	Drosophila melanogaster (Fruit fly)	887
O46199	A53E_DROME	reviewed	Accessory gland protein Acp53Ea	Acp53Ea CG8622	Drosophila melanogaster (Fruit fly)	120
P91927	A60DA_DROME	reviewed	LETM1 and EF-hand domain-containing protein anon-60Da, mitochondrial (Leucine zipper-EF-hand-containing transmembrane protein 1)	Letm1 anon-60Da CG4589	Drosophila melanogaster (Fruit fly)	1013
O46341	A6_DROME	reviewed	Protein a6	a6 CG3771	Drosophila melanogaster (Fruit fly)	409
O46200	A63F_DROME	reviewed	Accessory gland protein Acp63F	Acp63F CG10852	Drosophila melanogaster (Fruit fly)	81
P05623	A70A_DROME	reviewed	Accessory gland-specific peptide 70A (Paragonial peptide B) (Sex peptide) (SP)	SP Acp70A PAPB CG17673	Drosophila melanogaster (Fruit fly)	55
Q9VVW1	A76A_DROME	reviewed	Accessory gland protein Acp76A	Acp76A CG3801	Drosophila melanogaster (Fruit fly)	386
O46202	A62F_DROME	reviewed	Accessory gland protein Acp62F	Acp62F CG1262	Drosophila melanogaster (Fruit fly)	115
P16548	A95EF_DROME	reviewed	Accessory gland-specific peptide 95EF (Male accessory gland secretory protein 316)	Acp95EF MSP316 Mst95E CG17924	Drosophila melanogaster (Fruit fly)	52
O46201	A98AB_DROME	reviewed	Accessory gland protein 98AB	Acp98AB CG31056	Drosophila melanogaster (Fruit fly)	31
Q9VM95	AATF_DROME	reviewed	Protein Aatf (Apoptosis antagonizing transcription factor ortholog)	Aatf CG11188	Drosophila melanogaster (Fruit fly)	488
P29555	ABDA_DROME	reviewed	Homeobox protein abdominal-A	abd-A CG10325	Drosophila melanogaster (Fruit fly)	590
P09087	ABDB_DROME	reviewed	Homeobox protein abdominal-B (Infraabdominal 7) (IAB-7) (P3) (PH189)	Abd-B CG10291	Drosophila melanogaster (Fruit fly)	493
Q24093	ABHD2_DROME	reviewed	Abhydrolase domain-containing protein 2 (EC 3.1.1.-)	Hydr2 anon-23D anon-23Da CG3488	Drosophila melanogaster (Fruit fly)	398
